,Category,Text,Classification
115000,Homofobia,VSF MIKE VC NN TA PENSANDO NELE DNOVO NÉ?,
115001,Capacitismo,@porquetendencia Lewandoski más leproso que.. No no,
115002,Capacitismo,Q relação anormal,
115003,Sexismo,@giooocch claro q vas a ser un tarado si te pensas q es tu culpa,
115004,Politica,Amigas y amigos #AMLOvers esta es la diferencia entre los conservadores y mi presidente ⁦@lopezobrador_⁩ los corruptos defienden al INE corrupto y mi presidente nos defiende de esa bola de corruptos. ❤️  #AmorConAmorSePaga #EsUnHonorMARCHARConObrador https://t.co/BgW6x15HEV,
115005,Capacitismo,@AndreJanonesAdv JAnones debiloide.,
115006,Homofobia,simplesmente vai tomar no cu que eu intertida no meus kpops fui puxar uma pele do meu pé de ressecado e puxei e veio toda a pele e ta na carne viva  to andando igual um baitola de ponta de pé sera possivel que nunca vou ter paz https://t.co/DN0sC0TyQq,
115007,Sexismo,@Pooxa_sapatao Mentira!,
115008,Sexismo,@i1manjiro_ps Sim eu abro as pernas e ele trabalha tirando isso  não.,
115009,Calunia,@hitsadele preconceito uma vez q vc é branca e é uma desgraçada fedorenta aí peguei trauma,
115010,Calunia,@fegrisch @cirogomes Quem passa pano pra ladroeira é que deveria ter vergonha na cara. Eu apoio quem denuncia os b4ndidos. CIRO GOMES PRESIDENTE 1️⃣2️⃣✅,
115011,Capacitismo,@Tdiegol156 ERES UN ESTUPIDO,
115012,Xenofobia,@Erika11136672 @mixxmyka @Eu_simplesment Trocar o terceiro roceiro por qualquer peão da baía ou da sede,
115013,Capacitismo,—Diestra volvería a alzar esta vez dirigiéndola hacia una de las hábiles ajena aunque todavía sin atreverse a tomarla. Solo esperaba que no se hubiera lastimado. Esbozaría una sutil sonrisa algo apenada.—  Lamento haberte alterado de más. .,
115014,Xenofobia,queria por uma foto minha no perfil mas a última vez ficaram me zoando de pastel de FLANGO por causa dos olhos puxados https://t.co/ZFf9krSlUg,
115015,Capacitismo,@clapiclapiclapi a minha fala mondronguenta/mondronga,
115016,Sexismo,@merdalher_tm todo dia uma inseguranca nova eu n tanko,
115017,Xenofobia,@sadkaiquexcx jurou… só o maroon 5 que é mico mas eles fizeram músicas boas no começo da carreira então vale,
115018,Capacitismo,*#PrepareTheWay BREAKING NEWS  *CELEBREMOS AS OBRAS MARAVILHOSAS DA VOZ DO SENHOR DEUS CELEBREMOS O SENHOR JEHOVAH RAPHA A MEGA CURA DE TODOS OS TEMPOS E CELEBRAMOS O SUPREMO PODER DO SANGUE DE JESUS ​​CRISTO CELEBREMOS A BONDADE DO SENHOR!*  UMA ALEIJADA ANDOU.  * https://t.co/uql3rTQgWD,
115019,Sexismo,@VEJA ZAMBELLI PISTOLEIRA NA CADEIA ZAMBELLI PISTOLEIRA DO BOLSONARO ZAMBELLI AFILHADA DE SERGIO NOJO,
115020,Sexismo,Meu pai viu uma sapatao na rua e tá assim “olha aí Maria vc gosta disso?” Eu juro q não consegui segurar a risada kkkkkkkkkkkkkkkk,
115021,Etnia,Headphone Philips bluetooth over-ear com alta definição de som HI-RES isolamento acústico passivo microfone e energia para 30 horas na cor preto TAPH802BK/00 https://t.co/OfDo0X2QIS,
115022,Capacitismo,@nanicatriste seu namorado tb é assim sua aleijada,
115023,Politica,@thaispsic Kkkkkkkk facista para papai,
115024,Xenofobia,@monisanzo Excelente trabajo!,
115025,Capacitismo,@Lupo55 @mauriciomacri Como van a volver si son gobierno ya! Viejo pelotudo,
115026,Capacitismo,@mfiinha Esse cidadão não passa de um imbecil atrás de um teclado falando m....,
115027,Sexismo,@Nami_piranha (Pergunta: Jogar o 3 logo de cara perde alguma coisa dos outros 2 ou não?)  Pagaria também kkkkk Iria sair tantas perolas dai,
115028,Xenofobia,Nunca fui contaminado pela esquerda. (sou relativamente novo) Sempre tive muito orgulho das nossas FFAA dos nossos verdadeiros heróis.  Será uma decepção muito grande ver a destruição das nossas liberdades com nossas FFAA apenas olhando.  Espero que ajam no tempo certo. 🇧🇷,
115029,Assedio,@Paul_Dejala Y lo es puto francés en la vuelta tranquilo que viene pique y decimos que es mi puta madre,
115030,Capacitismo,Ehhhhhh Motivos positivos Ejecución ridícula y estúpida https://t.co/HrTH3XjW10,
115031,Calunia,Ele tinha que afirmar é que é um ladrão nisso ele teria razão!! https://t.co/j4FEPncJGq,
115032,Sexismo,Comprei roupa de sapatão nuuuuu vou comer tanta bct,
115033,Capacitismo,@printsminions A galera boa tá distribuindo o koo e rindo horrores das frases de quinta série enquanto o povo alienado tá na porta do quartel pegando sol e chuva e falando m3rd4 no telegram,
115034,Xenofobia,alguém me leva pra paraíba pra eu matar a saudades q tenho do jv pfv,
115035,Homofobia,@a_clarasd eu tava de boa veada,
115036,Capacitismo,Dou uma gorfada toda vez que aparece o coração tuberculoso mergulhado no formol de dom pedro na tv,
115037,Etnia,@bklisbon @danielafcr__ Denegrir é uma palavra racista (significa tornar negro) e tu deve ser homem porque qualquer mulher pode lhe dizer que já foi enganada pela maioria dos mecânicos. Eu já tive que pedir pra pai e namorado ver a situação pra mim e o valor caiu em uns 30%,
115038,Capacitismo,@ynecloth cara pior que eu nem sei ele é totalmente zoado da cabeça e se juntou com essa moça que..né? não sei se eles ainda estão juntos mas ok,
115039,Calunia,mi tia quiere q me meta literalmente adentro de la villa a ver si mi tio la esta haciendo cornuda nakjskja,
115040,Homofobia,VAI SE FUDE https://t.co/icGiMiDNbg,
115041,Capacitismo,@B63246675BryBry 😂😂😂😂😂 Li si addice al cognome a quel mongoloide https://t.co/sFItwkEbkp,
115042,Calunia,A vagabunda da bia quer me roubar 20 reais só pq pedi nude essa vadia ladra,
115043,Xenofobia,@prensa_buena Golden retriever,
115044,Capacitismo,"Ariel Pennisi otro leproso que aceptó el desafío de sumarse a las antologías literarias ""Grito Sagrado"" que presentaremos el domingo 27 de noviembre... 📖🔴⚫️ https://t.co/wfVgYDhFiA",
115045,Calunia,A los jugadores del #Magallanes es bueno siempre recordarle que los juegos contra el #Caracas valen el doble para el fanático aunque no se refleje así en la clasificación...!,
115046,Politica,@TerraBrasilnot Claro né... Aquele nazista te obrigou a aceitar o convite né...,
115047,Homofobia,@maisde15caract Eu vi uma sereia já hahahahahaha oxiiii 🧜🏻‍♀️,
115048,Assedio,@umvicente vtnc sem senso da porra vsfd muito pau no cu do caralho canavial de rola do cacete filha da puta bocetuda dos inferno CU,
115049,Calunia,Tão me chamando de galhudo por causa da tradução das minhas músicas namoral. Será se sou? Sei lá hein. Se um dia já me meteram galha eu não tô sabendo mas o corno é sempre o último a saber então...,
115050,Capacitismo,@fazatesentido @stpwatchingporn,
115051,Capacitismo,que podía hacer por él– dijo rascando se la nuca algo apenado por el alago.  Hey tranquilo– dijo interfiriendo en el gesto de su amigo– yo puedo cuidarlo a partir de ahora. Puedes ir a tu casa a encargarte de tus cosas y descansar si quieres.  –Puedes con el tu solo?,
115052,Calunia,@sousamilly_2 sabe nem oq é sua fedorenta,
115053,Sexismo,@__julisboa vish levei quote de famosa,
115054,Homofobia,"a bixa avisou desde o incio q eles n tinham nada serio e vem com essa emoção toda e faz todo mundo ficar contra ela e ser a ""fdp"" da históriakkkkkk",
115055,Homofobia,@musadosmeme Óbvio,
115056,Calunia,Sempre lembro dessa história quando vejo algum fanático https://t.co/bmgtvPWZiK,
115057,Xenofobia,@JonAundi Una novia polaca que tuve me hacía Kopytka que también está rico. Buscaré la receta de eso que tiene buena pinta.,
115058,Capacitismo,Ou vive no mesmo ritmo doido que nósou nem precisa chegar perto,
115059,Homofobia,@_lhaudias @thiairoldi o pior era a mula do @Fcmozeto com aquele fundo do toystory mlq arregassado,
115060,Assedio,@anittamamasita @Anitta Ao vivasso com o rabao para cima amei 🥰,
115061,Capacitismo,Aí é muito oportunismo né. Na hr que o Dorival começa a arrumar a casa achar o time ideal e...  Uma coisa é certa: com ele já tinha mandado um certo dirigente enfiar os reforços de seu empresário parceiro na olhota e saído no pau com a panela 85. https://t.co/T78SgTxKSB,
115062,Homofobia,boiola extremamente triste ⚠️⚠️⚠️ https://t.co/ZgNsK08Hyx,
115063,Assedio,@Symphonyzs Puta vadia safada cuzuda Feliz aniversário meu amor tudo d bom e de melhor pra vc q aproveite seu dia e q continuemos gritando horrores nas call de xingando (nem ia fala feliz aniversário agr mas cm fez post a gnt se finge de simpática) https://t.co/7jKvKLd5pn,
115064,Homofobia,@yuzutomayo_ bixokkkkkk num é possível viado,
115065,Homofobia,que boiola,
115066,Calunia,@RocioIb81477833 No tengo ganas cornuda,
115067,Sexismo,@angelca78307733 @rcavada Que ta hablando pila de FUPU  todos sabemos que es una prostituta  del periodismo que emite opiniones a favor del que le firme el cheque ! Verdad señor @rcavada,
115068,Capacitismo,A colocação em parte procede porém esperar algo da lesma lerda e infantilidade..o correto é o que fará o povo brasileiro ..esta é a questao q precisa de resposta urgente.. https://t.co/WQ3jP3qnPb,
115069,Capacitismo,@luxxxrodri leprosa,
115070,Assedio,@expresso Comprar um vôo na TAP é como comprar uma raspadinha na Ryanair,
115071,Calunia,@_Janoninho @AndreJanonesAdv VALDEMAR NA CADEIA e leva junto o BOLSONARO CORNO,
115072,Sexismo,"se diz lgbt mas acha q só existe gay lésbica bissexual e """"""""traveco""""""""",
115073,Calunia,@ed_trad CALMA SEU POLÍCIA N ME LADRA N &gt;:CCC https://t.co/uiut0KpC0J,
115074,Calunia,@AndreiaSadi Não sabe a diferença  entre o estado do Amazonas e a Amazônia... esse ladrã°.  E o governador dançarino é  outro pilantr@.,
115075,Capacitismo,@FurmanElias Leprosa,
115076,Capacitismo,@LucasSiqueira_ @FernandoHoliday Esse mongoloide não para de aparecer no meu feed...,
115077,Etnia,https://t.co/ThdiS250DE https://t.co/jHqLWhoHYj,
115078,Calunia,What Republicans &amp; Conservatives never grasp about taxes (never mind the concept of marginal tax rates)... this image shows how Taxes work and how they DON'T. Democrats on the Left the GOP on the Right: https://t.co/gM6ABMRhqa,
115079,Xenofobia,@fabiofaria Objetivo: usar as redes pra destilar ódio,
115080,Aparencia,No radar: perfil acessado agora 6 vezes https://t.co/lO9wzi0qjG,
115081,Capacitismo,@XareuIzabela mão de vaca faz um bolo p sua amiga aleijada,
115082,Capacitismo,@davidc_18 @rlopezaliaga1 IMBÉCIL REFLOTÓ LA COMPAÑÍA,
115083,Assedio,@cherrystarving Ou é isso ou a pessoa desenvolve god complex e narcisismo e fica por aí se achando a maior cuzuda,
115084,Sexismo,@liscoutinhoXO uma vez sapatão…,
115085,Calunia,@TorresErwerle sos un mogolico ningun fanatico del futbol lo va a pasar bien a menos que seas neutral,
115086,Capacitismo,@LeonSKennedyv Lo miró limpiarse el zapato no podía contener la risita burlona porque podía ver a Leon bastante apenado por lo sucedido.  -Ah no. Mis zapatos están bien aunque no me importaría si se hubieran llenado de refresco.- dijo mirándose fugazmente los zapatos de tacón bajo.,
