,Category,Text,Classification
30000,Sexismo,@r4yyhh vc é    vadia,
30001,Capacitismo,@sepmemes_ Jamais vou perdoar esse maluco,
30002,Sexismo,@TumultoBR Já era arrombado...🤣🤣🤣,
30003,Religião,o klebber toledo é mto lindo jesus,
30004,Calunia,alguém quer zoar o corno? chama na dm q eu passo o @ dele ♥️😌 #PINTOAWARDS,
30005,Calunia,@mariadorosario Da voltas e o ladrão sempre o mesmo ladrão... Sempre amado pelas companheiras de grelo duro!!! Kkkk chupaaa https://t.co/8dZFypkmaT
30006,Capacitismo,Olha o demônio #ChiknNuggitfanart https://t.co/rh7oUMwJu4,1
30007,Capacitismo,@o_antagonista Lesma da Amazônia.,
30008,Capacitismo,Promécio: Foram revertidas as edições de 189.35.13.121 (disc) para a última versão por Gerson ← Versão anterio... http://t.co/AvY6im3oM1,
30009,Capacitismo,so ter 7 mil scrobbles me deixa muinto triste,
30010,Xenofobia,🔴 O Quirguistão e o Tadjiquistão concordaram com um cessar-fogo após uma série de conflitos fronteiriços nesta semana relata a mídia russa.  Imagens dos combates esta manhã:  https://t.co/MpEkWKVbpR,
30011,Xenofobia,@luizgsilvaa SIM KKKKKKKK tem um que eles acampam na neve do QUIRGUISTÃO  eles quase morrem for real,
30012,Aparencia,E mania feia,
30013,Xenofobia,@BlogdoNoblat Tua mãe ladrona!!!!,
30014,Xenofobia,Compralo  ya boludo @JorgeBrito https://t.co/1OI7Ax4po5,
30015,Calunia,@FreddyOliviery Este idiota fanático,
30016,Aparencia,a mais injustiçada do grupo tudo isso pq aquela feiosa da soyeon fica com todas as linhas e qm tem vocal de vdd msm ela n deixa cantar https://t.co/Hggwlw7oQ6,
30017,Capacitismo,tem coisas sobre o meu pai que nunca falei pra ninguém e acho que o único lugar sobre qual vou falar a minha vida inteira é na terapia kk,
30018,Xenofobia,Uma tarde tranquila da torcida do @Corinthians. https://t.co/AccFXsTbmS,
