,Category,Text,Classification
95000,Homofobia,"VOU MANDAR UM PAPO MUITO RETO PRA VOCÊS  PRA TODOS VOCÊS QUE ACREDITAM QUE O BRASIL TEM ALGUM CHANCE NESSA COPA  VOCÊS TEM QUE TOMAR DENTRO DO CÚ  O ""LÍDER"" DE VOCÊS É VIADO  VIADÃO  LEVANDO PARÇAS/AMANTES PRA CONCENTRAÇÃO  TÚ ACHA QUE FOI PRA QUE??? MUITO VIADO  MUITO https://t.co/85JEC8rF0G",
95001,Xenofobia,RT @pncepcd o bicho que tem cheiro de maconha: o diambá,
95002,Calunia,@yuhengsluv Mana n vamo ficar fedorenta n vamo tomar um banhozin,
95003,Politica,@juanlobato_es @arvaldivia @_infoLibre Lobito siervo y vasallo de Sánchez…. Mentiroso compulsivo!!! Qué te prometió el Señorito Antoñito el fascista??? Un escaño????,
95004,Calunia,@NachoRgz @elonmusk Pues chtm cornudo de m13rd4.,
95005,Aparencia,crlh q prazer ver alguém comendo o cu desse feiozo https://t.co/JR2mQONAkq,
95006,Calunia,@Adricapt @analuhzita @xdeiazinha falando assim parece que a mulher não mata por ciúme e cornisse,
95007,Etnia,23:36 da noite e eu e cassiel no YouTube assistindo vídeo de macaco bugio gritando,
95008,Sexismo,@vulgo54 Mocreia,
95009,Sexismo,o homi reclamando que a muie quer dar pra ele só o que me faltava mesmo,
95010,Etnia,amigos cuando digo eso de Daniel es porque hay miles de detalles más que ha hecho y me hacen feliz “el simple papelito” solo es 1 de tantos no sean sapos malparides.,
95011,Sexismo,discutindo com uma vadia no meu tik tok pq segundo ela meu tênis não é maryjane pq ele é vermelho (?) e ta rasgado É UM TÊNIS DE SKATE IRMAO É OBVIO QUE RASGA PORRA menina chata do caralho,
95012,Capacitismo,lerdo não você que tá acostumada a ver todo mundo dando em cima de você,
95013,Assedio,marina.... marina sua gostosa SAFADa O HORARIO PERMITE SIM MAS PORRA OQ EU FAÇO COM ESSAS FOTOS OQ EU FAÇO COM ISSO EU PRECISO DESSA BUNDA AQUI AGORA NA MINHA CARA.,
95014,Calunia,@ViturinoCabral @MauricioST28 Ele aceita tudo  ate mensalao petrolao e sssim vai...  ladrao é assim mesmo,
95015,Sexismo,Pistoleira de antigos carnavais e coisa e tal.,
95016,Capacitismo,Já para não falar que leva o aleijado do João Mário fds,
95017,Xenofobia,@yuukt111 Zuluとのツーショットで一番好きかも🤣,
95018,Assedio,a aurora testuda de cabelo molhado não é real ela não pode te assustar  a aurora testuda de cabelo molhado https://t.co/um1IXpnoHI,
95019,Homofobia,@midonekko A decisão é sua n vou interferir  Teu cu deixa de viadagem isso aí passa é só se forçar a fazer,
95020,Politica,@Diamond_please Tbm deu não os cara é tudo nazista e quer se fazer de brasileiro,
