,Category,Text,Classification
120000,Capacitismo,Mano o Joãozinho não PQP,
120001,Assedio,@erlan_bastos @Ricardo33676844 @emoff @iG Tá bom! A formiga que passou na calçada também cantou a bisavó dela. Voz de taquara rachada sem noção!,
120002,Etnia,simplesmente amo o audio do tchuca,
120003,Capacitismo,Manicômi Aidético. Levado. Ver. Doido?,
120004,Etnia,@Eduardo_Baetta @choquei Vai lá  e fala isso perto se um argentino para eles te chamarem de macaco. Hajahhahahshah Preto branco... eles são bons em chamarem brasileiros assim.,
120005,Calunia,@RicciuP Es esto cierto? Jajaja es lo mas salvaje que he visto!!! Me convirtió en fanático en este momento!,
120006,Etnia,@criolo_jjbkj 心は元気だけど体が追いつかない😇時の流れって怖いね🥺 もちろん！近頃遊ぶ予定たてましょ🤲💞,
120007,Calunia,@evll_crf seu modo cornagem hj ta forte,
120008,Aparencia,@_kabumoon ele vai secar e fica feiozo parece um rato no lisho,
120009,Sexismo,@midklof credo imagina amar uma sapatao,
120010,Calunia,@marcomorareyes @ChaoPase @FundaChileLibre @apsiin Mi amiga me dijo que ella y su esposo se arrepienten de haber recibido la inyección y que no intentarán una tercera inyección. Me choca que todavía hay mucha gente ignorante que piensa que las vacunas son para ayudar al ser humano ¿parece que solo ven la tele?,
120011,Sexismo,@ShojannahTuriri I never said it wasn't   I'm saying the incel is doing everything he can to get more foot traffic to milk every penny from the melt down,
120012,Sexismo,old q eu seria mt fanficada,
120013,Capacitismo,"Eu e @twilypse hj compartilhando nossos traumas bem ""the other woman"" ai",
120014,Sexismo,@m0ng0Iic0 Troll de cuarta wn necesitado de atención. Además de tarado.,
120015,Xenofobia,Ei saudade Precisamos conversar Tão covarde Quando você vai passar? Tá pegando pesado comigo Todo dia é um novo motivo pra me judiar Para de judiarrrrrr. Segundouuu🎶🤪,
120016,Etnia,nina https://t.co/UEj4vmVxpw,
120017,Calunia,Já consigo sentir o fedor deles (ᛗᛟᚱᛏᚨᛁᛊ ᛁᛗᚢᚾᛞᛟᛊ,
120018,Calunia,@UOLNoticias Ô Josias você nem ligou pra esse vôo aí lembra? Quanta desonestidade intelectual me poupe vai. Aqui não tem fanático imbecil a gente lê muito e muito jornalista bom. Mas o cara tem que entender o tamanho de sua insignificância diante de um Estadista respeitado no mundo. https://t.co/zswDmLXUa0,
120019,Capacitismo,@RodrigoRFonseca Governos frequentemente ignoram os mercados quando tomam decisões aí ele se vinga pimba! Os governos não são entes etéreos eles vivem NOS mercados mas acham que são deuses. Quanta idiotice nas falas que o relativizam: todos estamos imersos pois eles somos nós.,
120020,Xenofobia,@AgnoniCaio Geralmente é uma ótima resposta,
120021,Capacitismo,"@JoseJimnezRubi1 Deficiente. Eres retrasado. Y luego dirás: ""una grande y libre"". Llamarás separatistas a los catalanes y etarras a los vascos así en general. Acabas de cometer delito de sedición sólo en modo orgasmo mental gilipollas.",
120022,Sexismo,@bieberativista @crf_isacx @choquei cala a boca vadia,
120023,Aparencia,Sai fora feiozo 🤧,
120024,Sexismo,Se eu não tomar jeito vou virar um vagabundo.,
120025,Sexismo,@neo127i . qrp algo digno pta eles,
120026,Assedio,Comprei um raspador de gelo p raspadinha 🤩,
120027,Capacitismo,Başkanım iyi akşamlarAdalet BknMilli Eğitim BknEmniyet Teşkilatı ve daha bir çok kurum banka promosyon miktarını açıkladı ve tarih verdi.Müzakerelerin bu kadar uzun sürmesi anormal değil mi ?Binlerce Kızılaycı sizden gelecek bir mesajı bekliyor sadece bir tarih ?! @drkerem,
120028,Capacitismo,-oh eso es genial-  —Asintió levemente algo... Apenada al llegar al templo lo volvió a mirar.  -¿Por donde empezamos...?- https://t.co/t0W0HZRSl9,
120029,Assedio,cachorra safada agora não presto sou feia,
120030,Xenofobia,se não tô enganada aqui em Socorro mais especificamente no Parque dos Faróis tem uma comunidade de ciganos https://t.co/pLPgDGa6lg,
120031,Xenofobia,Sigo a una polaca en instagram no sé qué dice pero finjo que la entiendo y le doy like.,
120032,Capacitismo,@julie9831 @RatioMonkeys CHUPAME LA PIJA IMBECIL,
120033,Sexismo,@gyuhaosz vc sendo mais incel do que esses mlkote com icon do patrick bateman do coringa eu ❤️ voce,
120034,Homofobia,bicha o ivan e o manu namorando quanto tempo eu dormi,
120035,Capacitismo,Un fascista inculto como siempre https://t.co/NgTOBXxRid,
120036,Sexismo,@gabrelezv FOI EXATAMENTE POR ISSO TE AMO SUA CADELONA DAS MAO FRIA 🌹🌹🥰,
120037,Xenofobia,@satan_caipira continua lindo amigo?,
120038,Capacitismo,@arigatougozei Eu tenho,
120039,Homofobia,@milocarioca NEM FUDENDO,
120040,Capacitismo,@o_antagonista Quem que vai voltar para a Argentina que fala português? Só se a pessoa for muito retardada,
120041,Calunia,@Aovibees Nem fudendo qm perdi traição é tudo cornão,
120042,Religião,@anticatolicismo Única topeira aqui seu herege é vc que não tem resposta p/ as suas mentiras desmascaradas lol.  Vc. é uma piada herege. Converta-se! DAGV vai apurar denúncia assédio sexual contra 2 pastores evangélicos https://t.co/cGEgjyCI6J,
120043,Assedio,KKKKKKKKKKKKKKKK ELA SE ACHA A BOCETUDA,
120044,Capacitismo,@eumartamr Linda ocê martola 💜,
