,Category,Text,Classification
10000,Xenofobia,@Vituotherfish Jurooo estou namorando,0
10001,Homofobia,nossa tô triste real q viadagem,0
10002,Capacitismo,to no ep da vagabunda da debha debora debiloide SLA O NOME DELA ESSA PUTA,1
10003,Calunia,Odeio pegar o 36 o que dá de gente fedorenta aqui é absurdo,0
10004,Xenofobia,@_D_190 Me da miedito pero aja q es lo peor q puede pasar? Q me digan q no? Q yo diga q no? ... no me hará perder el trabajo q tengo. Mañana meto papeles ahi. Leí de un gringo q es bueno buscar trabajo para no perder la práctica de la entrevista. Y le soy fiel a beneficios y billete,0
10005,Assedio,Essa delegada é boazuda demais #travessia,1
10006,Capacitismo,Categoria:Campeonato Panamenho: Nova página: Panamá Categoria:Panamá Nova página[[Categoria:Futebol|Panamá]] [... http://t.co/vcqBQRpD3X,0
10007,Sexismo,@Andre_RuGzzz meu boqueteiro ❣️,0
10008,Homofobia,@regisk1999 veadão na naite,1
10009,Capacitismo,@CarlaZambelli38 @gilmarmendes Cala sua boca sua vagabunda adoradora de satanás. Te chamar de mulher é uma ofensa pra nossas brasileiras guerreiras e batalhadoras que sofrem todos os dias nesse inferno que você ajudou a construir. Só tem voz com gente surtada e psicopata igual a você. Sua mondronga.,1
10010,Xenofobia,@Girardi56967012 @mradv22 Não sabia dessas contas bloqueadas 😞 Bom dia Carcamano e Girardi 🙌,0
10011,Capacitismo,@betinSCCP @YangkaiiixD @povotime1910 e vc q vive em uma bolha onde só existe futebol kkkkkk alienado,0
10012,Capacitismo,@Marianysilvak retardada 🫶🏻 e a mais linda do mundo,0
10013,Calunia,Aquí en Coquimbo hasta el más flaite chorizo marginal paga su pasaje eso es  chispeza no como los Santiaguinos culiaos,0
10014,Capacitismo,@KinkyDaddyPH @lazaro_london @kuuurrrooooo @jayysouth_ Tara love na kita,0
10015,Capacitismo,@horikhovyy Ni siquiera te conozco y ya me quieres matar pero:  Inténtalo y te mataré yo a ti de la manera más dolorosa y humillante posible  :D,0
10016,Capacitismo,@jairmearrependi @filgmartin Apareceu sim kkkkkkkkkkkkkkkkk pré viúve do canceroso q tá no bico do corve https://t.co/QnADuGq6us,0
10017,Xenofobia,Será que hoje André vai sobonetar na votação se o grupo A decidirem votar no Iran...pq o Iran já vai dar o poder de trocar o 3º roceiro ou para Ruivinha ou Kerline pq sabe q elas querem colocar o André e depois ele vai dizer q a escolha foi delas e o André vai dançar. #AFazenda,0
10018,Capacitismo,@QuinteroCalle @RoyBarreras Reguero de plumas ocultas las que tiene este pedazo de mrkon se nota que le gusta que lo atraviese el canceroso de hueco a hueco.,0
10019,Capacitismo,@requiaooficial Ótimo! Vamos com calma e equilíbrio. Sinto sua falta no Senado que sem você é como um jovem aidetico sem nenhum remédio pra tomar. Aleluia! Prof. Mauro Araújo Bezerra UFAL.,0
