,Category,Text,Classification
65000,Calunia,Si al malandro Yorvit Torrealba le dieron solo 50 juegos de suspensión por darle una mano a un importe seguramente a Asdrúbal Cabrera le van a dar 3 rosas y 5 aplausos. La LVBP tiene rato que es una 💩,
65001,Etnia,Misturar fado com quizombas faz sentido para mim é um eco do Portugal mulato onde cresci é uma aceleração métrica do 'portuguese blues' (...) defende Henrique Raposo cronista do Expresso.  Leia a opinião: https://t.co/OCxDzf6Ee0  📷 Per Ole Hagen/Redferns https://t.co/aIYwJkp9tk,
65002,Etnia,@bu_dhahi1 @suwaidi_jamal تراه كبش ما يفهم شي,
65003,Xenofobia,@BEIB_CAT Mimi ande de costas para a parede viu? 😂😂,
65004,Sexismo,tiraram a única muie da equipe meu instinto lésbico irá me fazer parar de assistir o rpg,
65005,Capacitismo,@1910isr @carloscereto @YouTube cara desde ontem o tiago ta querendo lazaro so pq a gazeta divulgou acha estomago pra isso,
65006,Sexismo,@petitkye saiba q seu sogro é uma bicha passiva .,
65007,Capacitismo,@senadorhumberto Isso é mentira desse idiota,
65008,Calunia,o cornão vai falar gnt,
65009,Sexismo,@ssophiavictor @siilvaleonor KKKKKKKKKKKKcalada mocreia,
65010,Capacitismo,@WiktoriaKrasno2 Wszystkim co brali zalecan kolejne dawki. Zróbcie to dla mnie i moich dzieci. Troche brakuje mi masek wtedy z kilometra wiedziałem acha idzie debil...,
65011,Xenofobia,Queria ter comido japa,
65012,Capacitismo,@leowojtyla @Julio_Anicio Outros para espanha... E tem uns debilmental que torce pros 2,
65013,Homofobia,“Processa todo mundo veada rica”,
65014,Capacitismo,@salvajedigital Pero por lo menos intenta entenderla en el supuesto caso negadomientras que el ANALFABETO FUNCIONAL se la pasa por las narices.,
65015,Sexismo,Todo mundo me falando que tô magro sendo que eu tô parecendo uma baleia assasina de tão gordo,
65016,Sexismo,@alexandregarcia Lula 13 13 13 13.  Chupa boqueteiro.,
65017,Homofobia,@ojoaomelo QUE VIADAGEM VOCÊS DOIS,
65018,Sexismo,caralho minha sapatãozinha preferida me fez chorar igual uma rapariga 💚,
65019,Sexismo,@choquei O paredão literalmente desabou sobre a rapariga!,
65020,Homofobia,eu so qria saber pq eu to triste viado😓,
65021,Capacitismo,@Pedrodon175 Abriu na olhota primo ? Bagulho doido 🤣🤣🤣,
65022,Assedio,@taoquei1 O cuzuda agora é tarde. #LulaNo1ºTurno,
65023,Capacitismo,@RodrigoElias98 la vara esta muy baja. imaginate que la cuna del futbol mundial se conforma con eso no papa asi no vamo a ningun lado,
65024,Capacitismo,@PedrinPior @GabrielMaximus @najulind_ Toda mondronga velha KKKKKK,
65025,Xenofobia,@cortesdobaiano @baianolol1 Aí @cortesdobaiano não sabia que tu tava com contrato com Epic Games https://t.co/5lTyuC0f2X,
65026,Assedio,@law_tirafoto Rabudona,
65027,Homofobia,Agora não tem gente mais não só tem viado Ass: minha vó (Ela não é homofóbica gente juro isso que é o engraçado),
65028,Xenofobia,@bandydahh ?,
65029,Capacitismo,@zaclewi5 KAKAKSKKSKSKS SIMM,
65030,Homofobia,@afropunkbahia só queria que na line tivesse @acantoramaya  mas tudo bem!!! Ansiosaaaaaaa veado💗💗,
65031,Capacitismo,Hoje eu tava sem ideia então tentei fazer o kirby #Kirby https://t.co/V1OWm8CfVF,
65032,Homofobia,"@EstudoDosCria PERA ISSO TAVA NO CHAT DO SEXO!? FALSKLAÇKGLÇKAÇGKLA Eu nem tinha visto acho que ele queria dizer ""VIADÃO NEGRO"" aí talvez tivesse mais safadeza mermo",
65033,Xenofobia,Una leyenda negra inventada por los británicos y alimentada por los gringos. Esa leyenda tan difundida por nuestras élites criollas que desde las guerras de secesión gobiernan nuestras repúblicas con estas mentiras.m,
65034,Capacitismo,@MargaritaRepo USTED ES UNA COCACOLITA CON LOS PAÑALES PEGADOS AL TRASERO NO CONOCE LA HISTORIA DE ESTE PAÍS. ESTÚDIELA. NO SEA IDIOTA ÚTIL.,
65035,Etnia,It depends on what kinda person he is and how matter is he for me https://t.co/B8qSZdc0eP,
65036,Capacitismo,Bom dia mundao,
65037,Calunia,@ferbelaunzaran ladra perro mientras puedas el 27 te vamos a quitar la alegría que traes con la mega marcha a lado de nuestro presidente AMLO,
65038,Sexismo,a vagabunda pega e pata de fala cmg ah vsf sua puta,
