,Category,Text,Classification
175000,Calunia,@LulaOficial Nessas universidades de hojesó bandidos e apoiadores de bandidos  pai de família ficará melhor guardar dinheiro e colocar na particular  com toda certeza sairá um profissional  na pública vai sair marginal.,
175001,Sexismo,@statusdozap @happnBr @alvesszx_bella vc é assim sua cadelona,
175002,Xenofobia,@jumptfckup @musoverao Se enxergue branquelo!!! 🖕🏾,
175003,Calunia,@HelenbraunT @la_tera_vive Se fanatico es seguir a otro demente que cada dia cambia de frase engrupe con un verso barato y los wnes tontos le siguen como rockstar… bien dice el dicho en pais de Ciegos el tuerto es el Rey,
175004,Capacitismo,@ilvmartells @zscrissy é cada coisa desse fandom doido,
175005,Capacitismo,Aidética filha da puta! Fala até com morto https://t.co/nzqCAe54eA https://t.co/VdT7NCIhDc,
175006,Calunia,amiga en 5 tweets al día nos decís que todos son iguales pero te gusta ser cornuda igual,
175007,Sexismo,@luan_yudii Baitola,
175008,Calunia,- pai como o senhor conheceu a mamãe? - então filho sua mae era casada com um bolsominion e esse cara ficou 72h na rodovia fazendo protesto pro capitão... - kkkkkkj cornão ele hein meu pai,
175009,Xenofobia,Esse epetigo que não larga minhas crianças. 😪😪,
175010,Assedio,como essa menina é boazuda né? Ela realmente é muito talentosa. https://t.co/Icz9l8Jpmp,
175011,Politica,Comunista de 5to mundo☺️☺️☺️ https://t.co/AzevATMT0l,
175012,Sexismo,@CxrodI @cinnamonmaj ya se acabo tarado,
175013,Homofobia,@VSertanejo Aquela Veada 🫣🫣🫣🫣🤣🤣🤣🤡🤡 assim como ela mesma diz mico do ano 🫣🫣🫣🤭🤭🤭🤭 Mas a gente entende 👀🥰 e passa pano 🫣🥰🥰🥰 https://t.co/pYYhMfkTNl,
175014,Sexismo,@victoriaboboca fecha o cu vadia,
175015,Sexismo,raphaela sapatao jjjkkkjjkkjkkkkwk,
175016,Sexismo,لاعبونا في المونديال 🔥 https://t.co/nhS39yDK1d,
175017,Homofobia,esse menino perdeu a oportunidade de mandar ela e essa velha caquética do caralho e a fatima bernardes tomarem no meio do cu prolapsado pqp viado burro,
175018,Sexismo,Mocreia! Sua pulseira tá pronta pra uso ! https://t.co/P1xJMsBiFp,
175019,Calunia,@CaluteMarins @senadorhumberto No presídio mesmo lá que é o lugar de ladrão,
175020,Xenofobia,@Charles_BHZ Claro vale pra todos nós.  Vimos isso com o Turco.,
175021,Politica,@TrungTPhan @elonmusk Foda se facista,
175022,Calunia,não entendo pq a fedorenta da soumu não larga o osso. o que tanto querem com o nome do gfriend se elas não estão mais lá e não eram lucrativas??,
175023,Religião,Unohana primeira Kenpachi https://t.co/lUBDbdVW0P,
175024,Homofobia,ó que viadagem https://t.co/dn3YZnx42Q,
175025,Calunia,Eu como brasileiro vitima do ditador @alexandre de Moraes não aceito que ele seja diagnosticado como portador de Transtorno delirante compulsivo quem cura marginal é cadeia,
175026,Capacitismo,A DIFERENÇA ENTRE UM DÉBILMENTAL E UM ESTADISTA. INFELIZMENTE OS DEBEISMENTAIS NÃO SABEM O QUE É UM ESTADISTA! 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ https://t.co/SCgCPrSL0O,
175027,Homofobia,@mateusnagisa bixa egonu fez um outro dia,
175028,Calunia,@Comi_quem_leukk @musadosmeme ent o marido dela é mó cornão,
175029,Etnia,É um absurdo brasileiro ir no exterior e tentar denegrir a imagem do seu país o Brasil ainda mais se este for alguém que é remunerado com o dinheiro de impostos deveria ser traição a pátria.,
175030,Xenofobia,Oh baianada boa!!! https://t.co/z4INSHDuN9,
175031,Xenofobia,@MarciaRessio @garimpodeacoes A vontade em alguns é essa sai de lá agora mas como se tivesse deixado um filho sozinho rs   É o despertar de cada um que já sente o que está realmente em jogo.,
