,Category,Text,Classification
160000,Capacitismo,@SebBovetSRC Hey J-F si on double pas la production pour rattraper le retard que les anxieux du climat ont causé ont va mourir de faim et geler criss de mongol 🤡🤡🤡 en passant votre job est inutile puisque votre discours est payé par le WEF.,
160001,Xenofobia,Não acredito que englobaram ciganos no tema do enem entrando em pauta de discussão aos poucos mas entrando,
160002,Capacitismo,@GugaNoblat Um debiloide que coloca boné da CPX e debocha de um brasileiro q está lutando pela liberdade só pode ser um merda realmente vc é LIXO IMUNDO!,
160003,Sexismo,"@Incel_Blackpill son las mismas ridículas que defienden a criminales mujeres se les hace ""divertido"" agredir a un hombre se les hace ""normal"" que una mujer sea tóxica y posesiva con su novia las de todos esos tweets puras enfermas mentales que tanto seguir al feminismo las fregó del cerebro",
160004,Aparencia,cada vez mais que eu vou xeretar mais eu vejo que a situação dela é feia demais kkkkkk meu deus,
160005,Etnia,@Wiiizin_ Tenho poucas lembranças desse jogo papo retissimo,
160006,Capacitismo,@j0uww @TungoPitucha @iamrafaelcabral @CabineSport outro inculto,
160007,Sexismo,Quero saber quem foi o fofoqueiro(a) vagabundo,
160008,Capacitismo,@agustinnico97 @PanterA_Goetze @MLArgCba @totomassa_ @Nikgaturro pobre inculto,
160009,Homofobia,Eu não tô ligando eh pra nadaaaaa,
160010,Homofobia,@kimanjinn Uai ele tem dois usa um pra uso pessoal e o outro pra uso profissional.,
160011,Homofobia,@obalela to ficando maluca !,
160012,Sexismo,@Baleia_galactic @DiegoBR142 @iara_morbiducci A minha vida eles não estão atrapalhando…,
160013,Assedio,a vontade q eu tenho é de ligar pra essa cuzuda e falar uma par,
160014,Sexismo,@kimpaim O koo dele já foi invadido à tempos está bem arrombado,
160015,Capacitismo,@magicjeon que bicho eh esse zoiudo,
160016,Homofobia,@nahkjkk o slk negão bombadão viadão,
160017,Aparencia,@jizoatriz Caralho me chamou de feia na tora,
160018,Etnia,o que eu não faço pra ir no aniver dessa macaca @apologygirl444,
160019,Xenofobia,eu vivo contando no meu tt pessoal que a minha família sempre ouviu muito gipsy kings nas festas e como sempre amamos livros que têm personagens ciganos principalmente espíritas. mamãe dois primos e eu somos fãs demais. essa conexão com o povo cigano não é em vão...,
160020,Capacitismo,SE HOJE ENTRAR EM CAMPO  A PUTA DENTUÇA PIPOQUEIRA DA ZAGA A PORCA CHILENA CORNA  O FUMANTE ARGENTINO CANSADO  A BICHA  TENISTA MULAMBA O GAITEIRO DE ZONA CAMISA NUMERO 8  O FUMAÇA AIDÉTICA EU ASSISTO ESSA BOSTA TORCENDO PRO PALMEIRAS ENRABAR ESSE TIME DE VIADO E MACONHEIRO,
160021,Capacitismo,@putadodoyoung vc ta ficando doido???,
160022,Sexismo,Qué le exigen a Maluma? Si lleva años demostrando que es un recontra tarado,
160023,Homofobia,@Breno_Abreu28 KKKKKKKKKKKKK só na idd falsa né baitola,
160024,Homofobia,@euandercruz Mas quem disse q sou viado? https://t.co/vZ1465tHkM,
160025,Capacitismo,@silvah_rafa_ Chama os cara de punheteiro mas tu pode fica postando essa buceta fedorenta. Retardada,
160026,Capacitismo,@janislcani Pise una facultad e infórmese en que consiste ser juez analfabeta con leyes que son una catástrofe que sentencias se ve obligadas a emitir por absolutamente imbéciles que las hacen sin tener ni idea.,
160027,Capacitismo,@Sakazvki @Rato0016 @choquei Mongoloide,
160028,Sexismo,????? cadelona,
160029,Assedio,essa guida é muito boazuda  #Travessia,
160030,Xenofobia,Tocando agora na KRFM: Ciganos de Ira!,
160031,Sexismo,@feijafernando2 MANO PIA PARA VÃO PENSAR QUE EU SOU TREPADEIRA MENINO,
160032,Sexismo,Vão se fuder vao matar a minha muié q tistreza https://t.co/QgmFzVjz1j,
160033,Assedio,@versao_real @alexathaide Brasileiro bunda rachada puxa saco de argentino escroto. Se fosse o Neymar estariam pedindo até CPI.,
160034,Homofobia,@naturabroficial Nossa Senhora meu Deus nunca mais apareça na minha linha do tempo eu juro por deus que não foi pra ver isso que fiquei 9 meses na barriga da minha mãe formando meus olhos eu juro por deus nada nunca me menos a comprar produtos de alguma marca que isso pronome neutro morra agora,
160035,Calunia,Mais um final de semana sem jogo do União e nos tá como: 🇦🇹 https://t.co/xomZoJCRwG,
160036,Xenofobia,@reportersalles Psicopata pseudo juiz xingling ditaDor tiranete,
160037,Etnia,@HenryFloresST Felicitaciones alcalde es el primer alcalde que veo que piensa en las personas sin hogar de su municipio... Yo he visto esa triste realidad de los portales...,
160038,Assedio,Como é boazuda essa aqui https://t.co/dXK8hFxTSW,
160039,Calunia,não pq aquela PUTA n avisou q a chave tava na porta deve ser ela q tá sabotando essa corna,
160040,Sexismo,@drigossouzaa @ducastr_,
160041,Xenofobia,Isn't Romano Swanson Bass Yimi Pop Mayza Cimber with at least the ability to dream on Danner Zulu Pearson Juenger in AAA a pretty solid place to be with the pen? Volatile yes! But that's basically the case for all but 3 pens in baseball.,
160042,Capacitismo,me aguentar mandando mensagem perguntando se você me ama ou se me amaria se eu fosse uma lesma,
160043,Capacitismo,@primatasx @Gamersnanet_ GABURELLI???????????? KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK esse pou parece eu zoiudo,
160044,Sexismo,Quem é a mocrea velha?,
160045,Calunia,@andrefran Em um país sério um ladrão não seria presidente.,
160046,Sexismo,@anapiressv mocreia,
160047,Sexismo,@barbaraevans22 A planta trepadeira querendo opinar…kkkkkk https://t.co/Hvd5Djbgpy,
160048,Etnia,@SigaGazetaBR Samba do crioulo doido...,
160049,Capacitismo,@cabrerahercap 😤,
160050,Capacitismo,Pensei em postar uma fotos de novo no feed mas não sinto que posso voltar a postar de novo 😕,
160051,Capacitismo,ANÃO QUEISSO,
160052,Capacitismo,EU FALO VETA INFERNO OS CARA PICKA INFERNO PQP MAPA DE MERDA CHEIO DE MONGOLOIDE JOGANDO DANDO A VIDA BANDO DE LIXO DE MERDA DO CARALHO BANDO DE FILHA DA PUTA,
160053,Sexismo,sinusite vadia não é possível q a crise venha no dia do enem,
160054,Capacitismo,Menos mal que nos lo ha explicado una entrepreneur.   Los simples mortales pensábamos que Elon es un anormal sin empatía que se ha follado una empresa solo porque puede. https://t.co/51amXs3CTp,
160055,Sexismo,@naghtygabriel vadia,
160056,Aparencia,@srbaianer @da_museu essa velha eh muito baranga e feia ne como pode,
160057,Capacitismo,Tô morto de canseira to suado to tudo de zoado... preciso de um banho bem gostoso e uma soneca,
160058,Capacitismo,@Convergncia1 @MauricioRicardo E quem disse que é questão política mongoloide?,
160059,Calunia,rindo horrores dos vídeos antigos da mc loma kkkkkkkkkk lembrei do cornão de maraca kkkkkkkkkk,
160060,Assedio,@jelyssonn continua sendo um puta rabão gostoso no meu coração,
160061,Capacitismo,@JosinSoprano @regionleonesa Y tu un inculto... De historia -1... Además sabrás tu la situación despues de 40 años de abandono por parte de la Junta... Leé algo antes de opinar así no quedas tan en ridículo...,
160062,Assedio,@JapaneseDenimx cm um rabao desse?,
160063,Capacitismo,@ChumelTorres No es posible que esté vejete se ponga como niño taradoyo puedo mas que los demásme enojo y hago lo que quieroyo tengo dinero para llevar más genteel país hundido en la 💩 y este ogt con caprichos de mongoloide @lopezobrador_,
160064,Homofobia,@opallazuli se fosse um homem gordo negro trans e periférico tenho certeza q vc n falaria iss,
160065,Capacitismo,eu hein coisa de louco,
160066,Xenofobia,@Farinho_10 @FormulaRoms Yup had the n word f word chingchong thrown at me mate. Don’t lecture me about  competitive toxicity i have first hand experience. Did I like it? No sure as did fuel my adrenaline. I get your point but it swings too far left mate unfortunately.,
160067,Xenofobia,Antonio Mohamed el turco loco estas de vuelta y es un hombre libre 🇹🇷,
160068,Assedio,gente o yukhei mal não é nada mais nada menos do que consequência de nctzen bocetuda que vive metendo pau nele e acha isso lindo mas ai agora ta se fazendo de sonsa e preocupada kkkkkkk é de cair o cu do cavalo,
160069,Aparencia,que filme FEIOSO vsfff https://t.co/vI60Ncd6yE,
160070,Capacitismo,caralho mano se vai andar igual a porra de uma lesma SAI DO MEIO PORRA cabem duas pessoas andando nessa merda,
160071,Homofobia,vícios é muito boa pprt viado,
160072,Sexismo,@loisaxcw uque q eu fiz sua vagabunda,
160073,Homofobia,o do i.n é simplesmente a cara dele então i.n https://t.co/FjwHG1CXb6,
160074,Capacitismo,a diferença de postura e oratória pro esclerosado... se os cargos fossem invertidos provavelmente haveria uma reeleição https://t.co/pbLgnGYkii,
160075,Etnia,@Joao_Martins_P @allinebf Dx ela expressar os sentimentos dela macaco,
160076,Capacitismo,Porque yo en el amor soy un idiota 🍻 https://t.co/9MFfcBqaPf,
160077,Homofobia,boiola https://t.co/LZyfsLQPVL,
160078,Etnia,- Este usuário está sentindo-se uma vagabunda,
160079,Xenofobia,オース🇦🇺トラリアに出💸稼ぎにでも行ってるのかなぁ🤔,
160080,Sexismo,agora que o harry terminou com a mocreia lá ele pode finalmente anunciar o nosso relacionamento ele só queria proteger minha privacidade,
160081,Calunia,Ahí vienen los #Toros,
160082,Sexismo,Postei o bagulho da minha vó em homenagem a ela e vem um sem noção sem mãe arrombado fudido falar q eu tô querendo chamar atenção. Vai se fuder bicha de merda,
160083,Sexismo,@isaduoira Kkkkkkkkkkkk eu tbm n teria coragem de ir num traveco,
