,Category,Text,Classification
130000,Homofobia,@_Ferraaaaari_ @trajaza @eslove66 @_ilov3hotmoms NGM ACREDITA EM VCS VIADO PIOR Q VCS SO O SANTOS,
130001,Capacitismo,no final de semana que eu posso joiar de verdade meus amigos tao tudo zoado 😭😭😭,
130002,Calunia,BOLSONARO  CORNO https://t.co/M1hX9G7T3V,
130003,Xenofobia,serio a taylor swift do debut sou literalmente eu uma caipira da roça maldosa,
130004,Capacitismo,@NicolasMaduro Maldito ignorante,
130005,Homofobia,@morallpanic viado desse jeito,
130006,Capacitismo,@ernestinita__ es tan analfabeta LA AMO,
130007,Homofobia,@alvarengga_ KKKKKKKKKK pqp viado,
130008,Capacitismo,@RojoEdwards @latercera Cortese el pelo a ver si como a Hércules en vez de perder la fuerza pierde la estupidez  pero con respeto!!!,
130009,Etnia,@SigaGazetaBR Eles podem denigrir e difamar mas se algum deputado chamar de ladrões aí o deputado vai preso mesmo com imunidade parlamentar! É assim a tirania do crime organizado!,
130010,Calunia,"@Gilmarilandia @reportersalles Não aceitar que um ex presidiário ladrão condenado em três instâncias ""com provas sobradas"" seja o representante do meu País. Com toda delicadeza Gilmarilandia VÁ À MERDA",
130011,Xenofobia,@baianolol1 MLN8701,
130012,Xenofobia,@fx_yanlc4 Não vai mudar nd amigo vai trocar o terceiro roceiro ou seja vai troca um do nosso por outro do nosso só e torcer pro outro não ser nada de mais,
130013,Capacitismo,quem que é o retardado que fica soltando fogos e cortando de giro com a porra da moto ONZE E CINQUENTA DA NOITE? vai se foder barulheira chata,
130014,Capacitismo,atualização de acessos no meu perfil https://t.co/LScwhMIEJG,
130015,Sexismo,Won the 50/50 twice lost it early to one I that wanted. https://t.co/xJxxSsp5Q7,
130016,Aparencia,Ganhei o dia mano quando acordei peguei o cll e li: O feioso sabe q eu te amo né. kkkkkkk,
130017,Xenofobia,@amatterasoo Xingling,
130018,Sexismo,@UwUFrize He's a misogynistic fraud of a boxer who is banking off incel's hatred and spreading that same message to Joe Rogan podcasts and the like,
130019,Sexismo,@hange_Zzz mamada iPhone e sexo   eu sou uma prostituta em 2023?,
130020,Sexismo,@souzalevouban @duoboost puta vadia,
130021,Homofobia,@stannzito Vddq bom q sou hetero top,
130022,Capacitismo,"@phzinn87 Foi kkkkkkkkk aí Flávio ""separa matuto canceroso""",
130023,Calunia,Hace calor para ser cornudo jajaaja,
130024,Sexismo,esconde o fav que a bicha sem personalidade ta vindo ai,
130025,Etnia,@festivalcasarao Criolo,
130026,Capacitismo,Deficiente mental https://t.co/FrL8M3OJj3,
130027,Calunia,@SK_SCCP @taoquei1 Podre.. Só ganham ladroeira msm kkkkkk,
130028,Sexismo,@gusmd_ vai virar sapatão mesmo né ?,
130029,Capacitismo,De acordo com o que eu vi no meu koo ops no meu instagram É cada idiotice que a gente lê https://t.co/mw6nHWE7Ao,
130030,Capacitismo,@misteriosodante Una de las cosas que más ilusión me ha hecho es ver a Jinbe por fin unirse a los Mugiwara es uno de mis favoritos 🥲 La relación que tiene con Luffy como su ángel de la guarda y la transfusión de sangre en la Isla Gyojin le dieron un trasfondo tremendo.,
130031,Sexismo,A muie trocou um veio por outro veio???,
130032,Capacitismo,@Andreaguzpa Que estupidez…!🤦🏻‍♂️,
130033,Assedio,@sbatsky vc é uma safada https://t.co/AWxT4wChmP,
130034,Calunia,@andrefran Não te vi tão indignado em ter um ladrão condenado eleito de forma suspeita e doido para meter a mão no dinheiro dos contribuintes.,
130035,Capacitismo,Muito louco que nesses dois dias tive mais que em quatro meses de namoro,
130036,Homofobia,@medina_nao_surf que viado,
130037,Calunia,@LulaOficial Se prepara ladrão seu lugar é na prisão. https://t.co/rzESdIa809,
130038,Capacitismo,@77_frota Cara deixa de ser burro!  Educação saúde e segurança são obrigações indelegaveis da União. Sem mudar a CF isso jamais irá acontecer.   Desinformação ou idiotice? Fico na dúvida...,
130039,Homofobia,@rcfortunato13 melhor ele postando c a namorada a bicha deve estar pulando alto 🗣️,
130040,Calunia,@ThiagoResiste BOLSONARO CORNO,
130041,Calunia,Como todo bolsonarista fanático não passa de um covarde. Igualzinho ao mito. Esbraveja pela manhã e a tarde pede desculpas.,
130042,Sexismo,@ciarIini gnt vagabunda é assim mesmo,
130043,Homofobia,@nalauraCabrau @kaiukyy é brincadeirinha bixa,
130044,Xenofobia,@ElsinhaMello @exercitooficial @CmdoCMS Obrigada por nossa voz mesmo sendo argentino,
130045,Capacitismo,@Lahijadelpes23 Imbecil no conoce,
130046,Homofobia,@haledunphy BICHA A MINHA RESPOSTA FOI DIRETO PARA O COMENTÁRIO DELE????? O QUE TÁ ACONTECENDO COM O MEU TWITTER???,
130047,Etnia,@Dri_a @Pragmatismo_ Denegrir? 🤔 Acredito que não sabe muito bem o significado da palavra! Quanto ao papel das forças armadas ouça o que o Ives gandra tem a dizer! https://t.co/c9Yz29O7vW,
130048,Capacitismo,Santana Esporte Clube:  ← Versão anterior Edição de 01h01min de 17 de maio de 2015 Linha 2: Linha 2: |co... http://t.co/vJEYMM27gV,
130049,Capacitismo,@PamonhaMaria @vl62267 tá suave então a gente não fez contato visual,
130050,Etnia,¡Jueves de Territorio!  Me encuentro visitando Nejapa para escuchar las necesidades de la localidad y apoyar en la labor social y legislativa para el desarrollo sostenible de la localidad   Como diputado reitero mi compromiso de estar siempre cerca de ustedes 🙌 https://t.co/VqkuW8Zkki,
130051,Aparencia,@jenzbin @justfortuan ela n eh feia,
130052,Calunia,@JanainaDoBrasil Gosto muito da senhora deputada mas a sua área é o judiciário que por sinal em nosso país é podre e fedido. A questão é em um sistema existe: tabela códigos linguagem e por aí vai linha de comando.,
130053,Xenofobia,@BrenoGalante @Atletico Agora é deixar o cara trabalhar! Não deixaram o Turco trabalhar e o time piorou depois que ele saiu. Não podemos repetir o mesmo erro!,
130054,Xenofobia,@ScoutVasco Que tragam o paraguaio pro Vasco,
130055,Xenofobia,@MichaelS_SAA @stephendziedzic @SenPaterson Are you Chinese people? Why do you speak on behalf of Chinese people? Michael Chingchong?   Chinese people offshore need protection and need Chinese police role because the racism and blatant Sinophobia spewed by people like you Michael.,
130056,Xenofobia,roceiro e skatista pra que mais,
