,Category,Text,Classification
25000,Xenofobia,@taliriapetrone Fazuelle  nome bem antenado com o gênero neutro. E eu não contaria com o sexo do bebê se fosse vc… Achei democrático pedir sugestão.,
25001,Religião,Porque meu tik Tok só tá dando macumbeiro gente kkkkk,
25002,Aparencia,@alucardzinkkj @Viniboyopressor @RY0ASUKA__ nto Doida Doido Egua Escrota Escroto Esporrada Esporrado Esporro Estupida Estupidez Estupid Fedida Fedido Fedor Fedorenta Feia Feio Feiosa Feioso Feioza Feiozo Felacao Fenda Foda Fodao FodeFodidaFodido Fornica Fudendo Fudecao Fudid FudidoFurada Furado Furão Furnica Furo Furona+,
25003,Xenofobia,@ComunytiManayer @M166816 @liusivaya La red eléctrica polaca europea se une a la de Ucrania en ese área el S 300 antiaéreo una mierda de fabricación rusa falló y cayó allá. Eso es todo.,
25004,Sexismo,é um estorquista capitalista safado mentiroso enganador anti-familia e boqueteiro https://t.co/aXUaj4am3W,
25005,Sexismo,Que menina desgraçada vsfdr da pra um e pra outro e quer vim falar algo vsfdr vagabunda pirangueira safada! 💆🏻‍♀️,
25006,Assedio,@MUGLERMIND meu sonho é conseguir esconder os peitinhos com um cinto,
25007,Capacitismo,KKKKKKKKKKKKKKKKKK https://t.co/fBIW2ny2u7,
25008,Calunia,@lluuumme es hermoso pero pelotudole ladra a una PIEDRA https://t.co/fJmPk7XB0C,
25009,Calunia,@RoseniltonBati2 @ariellediasbr @gleisi Linguajar de marginal.,
25010,Capacitismo,@Texi_o_lezado Suporte,
25011,Xenofobia,@Ingriwitch @BeyoncedaCohab1 @filipe9906 @izahaguiarx Esse foi o problema sabe eu pensei em focar nos indigenas ribeirinhos e quilombolas mas parecia que estaria negligenciando os outros citados como ciganos extrativistas e nem lembro quem mais mas se eu fosse falar no geral seria uma redação rasa,
25012,Calunia,@kevindsgf TÔ PUTO AINDA COM A ANGELINA AQUELA CORNA VSFR NOSSA ODEIO ELA MUITO,
25013,Aparencia,@erik_rubronegro @peterjordan100 Já tá preparando o dedo pra fzr o exame de próstata tiozão ? Feiozo . Aqui ó pega a foto desse homem negro lindo e faça vc uma moldura https://t.co/mB8lkXjwWd,
25014,Sexismo,@Washington22099 @PedrAbreu_ @gasantiago__ pode levar traveco?,
