,Category,Text,Classification
5000,Sexismo,Ela tinha postado um story na praia e o outro era ela copia engessado aí ele jura que fui eu  O alecrim logo disse que ela é rampeira deve ter bebido até o c* fazer bico caiu e se quebrou,0
5001,Calunia,@marciatiburi Compra se tu tiver dinheiro apoiadora de ladrao,1
5002,Etnia,Adam Fox (@Adam_Fox5) @DeMathaHoops vs. St. Maria Goretti (@SMGCHS) | Scrimmage | 19 Nov 2022 #TheSeparationIsInThePreparation  @MarcusHelton @MaxPreps @HoopMixOnly @OvertimeElite @WashPostHS @hoopseen @TheHoopHerald @Ballislife @SInow https://t.co/smgWL5adUs,0
5003,Sexismo,tinha que existir uma lei em que merdalher não deve apitar e nem narrar jogos,1
5004,Capacitismo,Olha o setor financeiro que vivemos é zoado? SIM!  O dinheiro vai pro bolso de 0.1%? SIM!  A tech de mercado e moedas descentralizadas é legal? SIM!  Vai sozinha fazer qualquer diferença na situação do mercado? NÃO! Só cria mais um meio pra o mesmo  paradigma se estabelecer. (+),0
5005,Sexismo,Fim da vagabunda 🤣 https://t.co/KIlVYW9L8A,1
5006,Etnia,@suwaidi_jamal وَلَوْ تَرَى إِذْ يَتَوَفَّى الَّذِينَ كَفَرُوا الْمَلَائِكَةُ يَضْرِبُونَ وُجُوهَهُمْ وَأَدْبَارَهُمْ وَذُوقُوا عَذَابَ الْحَرِيقِ * ذَلِكَ بِمَا قَدَّمَتْ أَيْدِيكُمْ وَأَنَّ اللَّهَ لَيْسَ بِظَلَّامٍ لِلْعَبِيدِ  عدم فهم القرآن ممن يدّعون بأنهم قرآنيون هو سبب جهلهم بالسنة,1
5007,Capacitismo,@felipbts coitada da sua filha se chamar ana carolina,0
5008,Etnia,[18/11 18:51] Itauana: Falou q quando nós não ta na escola [18/11 18:51] Itauana: A escola é uma paz [18/11 18:51] Macaca Da Perereca Molhadinha🐸❤: Tudo é nois [18/11 18:51] Macaca Da Perereca Molhadinha🐸❤: Meu ovo quer paz vai pra igreja KKKKKKKKKKKKKKKKKKKKKK,0
5009,Sexismo,essas imagens transmitem tanto a vibe “namorado? magina essa aqui e uma bicha q trabalha comigo ela usa calcinha “ https://t.co/9WLw6BG0nG,0
5010,Sexismo,"Las cualidades ""positivas""de ROY BARRERAS las exalta HUMBERTO DE LA CALLE. Olvida toda su conducta tramoyera oportunista y profundamente engañosa acompañada de una ética muy diciente. RODOLFO HERNANDEZ el excremento de la historia dijo que ""es una vil prostituta ambulante"". https://t.co/qLRlQxFWQX",0
5011,Assedio,No puedo disfrutar nada de esta forma. No puedo porque mí cabeza máquina constantemente. Ojalá fuera así de fácil como bloquear o no responder más. Y ya se que soy una tarada que la usan y todo eso. Dejen de decirmelo. Ya suficiente tengo con todo esto,0
5012,Homofobia,@KarolineeLeemos viada,0
5013,Sexismo,@Opan_gio @futurizando_ Safadeza sexo e beijos...eu me senti uma prostituta,0
5014,Xenofobia,Será MUITO interessante se tiver Manchester United x Barcelona na Europa League... Só pro Papai Cris judiar dos culé novamente igual judiava em época de Real Madrid...,0
5015,Capacitismo,@classicorei_ Vicetória.  Sobretudo por conta do debilmental do paulo carneiro. Aquele bixo é um idiota e se a torcida gosta a torcida merece.,1
5016,Capacitismo,Mano eu to coringando de vezeu nunca pensei q lixar a porra de uma peça de aço fosse me foder tantoFaz mais de uma Semana q to lixando e nada dessa porra filha da puta Lazarenta do caralho aidetica do caceta cheio de verme ficar boacaralho q odio,0
5017,Capacitismo,que esse mlk é debilóide eu ja sabia https://t.co/sffy71lX6b,1
5018,Calunia,@AndreiaSadi Primeiro gostaria de saber o que o meliante foi fazer lá sendo que ainda ele não é o presidente só a partir de janeiro. Segundo ele não foi convidado.  O jatinho é o de menos perto do que está por vir.,0
5019,Calunia,@bitch_boyyy sabia a era tudo culpa sua seu fedido do krlh vai tomar banho,1
5020,Capacitismo,@tremseven41 analfabeto inútil,1
5021,Xenofobia,@SpeakerPelosi Gross 🤮,0
5022,Capacitismo,Llego a querer bailar como está gente me despido de mi vida al instante,0
5023,Capacitismo,Tava ouvindo Millenium do Robbie Williams e em seguida parou em You'Re Mine da Lea Michele e na Hora eu percebi que a música da Lea tinha sample da do Robbie fui nos créditos e tinha mesmo. O Ouvido de Tuberculoso da gata https://t.co/hfCKKCBOAs,0
5024,Sexismo,@mteijeiro Cállate peazo e meretriz.,0
5025,Capacitismo,@_andrewsousa Sinceramente... acho zoado isso. Po é a live do filho dele campeão... vamos respeitar o moleque pelo menos,0
5026,Etnia,@atencaoreality Kkk macaco Velho nada de racismo ela está falando da esperteza dele. Não adianta! Deolane dona da fazenda 14,0
5027,Capacitismo,“De preferência um menos lerdo e que não viva voltando com ex” a lauani kkkkkkkkkkkkkkkk,0
5028,Xenofobia,Comprei uma capinha pro meu celular e uma película ( privacidade ),0
5029,Etnia,@JanainaDoBrasil É você Ruth?  Você ficou isenta. E na disputa pelo senado só se preocupou com seu umbigo né?  E pior tentou denegrir o Marcos Pontes usando o Bolsonaro.  Agora dona Janaína continue isenta....ou faz o L,0
5030,Homofobia,@isaralho @trajaza HAHAHAHAHAHAHAHA AIAI,0
5031,Capacitismo,@_Estragao Prepara a olhota anel roscado o olho du c. fdp.,1
5032,Xenofobia,@flango_gabriel Também senti uma Dó do Denji,0
5033,Sexismo,@MauroJosdaSil17 @roxmo Boqueteiro do lula. Vai trabalhar gorduxa,1
5034,Homofobia,@joojfr @Vinibsoc_ Exato lá dentro de miuwaukee vão conhecer o poder do veadao,0
5035,Religião,Deus tá é bravo com os herege de novo e tá mandando dilúvio pra acabar com todo mundo,0
5036,Assedio,estou dando boas risadas com essa https://t.co/vNEeFdRSXC,0
5037,Capacitismo,@Carolalon1 @IreneMontero Fíjate si es democrático el acceso que hasta una analfabeta como tú podría entrar pasando la oposición...,1
5038,Sexismo,@mrspretender sim biba mds arte era pra ser assim ❤️⭐️💐🌸🍰🌈 mas eh assim 👹😭‼️🖕🏻🤯 juro to p virar o coringa,0
5039,Capacitismo,A Temporada 2 da série Warrior Nun já está disponível no nosso canal do Telegram!  Link do canal no fixado.  Tag: Série no drive lançamento Warrior Nun 2 temporada no drive https://t.co/d9qVOaFnee,0
5040,Capacitismo,@ClaudioXGG No pues tú tienes un enemiga más peligrosa y esa es la realidad qué lleva ya casi 4 años y no lo han podido derrocar y eso quiere decir qué son el rival más débil jajajajaja en esta contienda electoral pues en todo an fracasado hasta en su marcha pedorra jajajajaja,0
5041,Sexismo,Serasi se encontrei a Muié da minha vida?¿,0
5042,Sexismo,suzu merdalher,1
5043,Sexismo,o mais bonito daquela bandinha fulera https://t.co/crymb5Qoiq,0
