,Category,Text,Classification
170000,Xenofobia,@Paraiba_JHVLAG Tá rindo bglh tá ficando doido kkkkkkkkk,
170001,Calunia,@heldermaldonado E lá vamos nós com BOLSONARO CORNO nos trends maaaais uma vez kkkkkkkkkkkk https://t.co/UuKvVLErst,
170002,Capacitismo,de pensar que ainda existe gnt analfabeta nos meios atuais é muito louco e não são poucas😶,
170003,Sexismo,@IndoNadine @samiimaali الشي فيها شيخة شيخي يابنتي,
170004,Capacitismo,@LuanZadak alcoólatra fudido pedinte mendigo usuário crackudo aidético cheio de dst,
170005,Politica,PIG mentio tubo miedo de un debate con Elena Chávez. Guatemalteco aprovechado corrupto.,
170006,Calunia,@thegegeshow The Cornisse Never Ends,
170007,Calunia,@HOWLSMUSE mas assim... nao acho que crianças deveriam ter tuiter inclusive se nao me engano tem classificação algo assi,
170008,Sexismo,@Mueblecien @mono_vulgar @elvirarelv Ta bueno el traveco,
170009,Homofobia,O Alois me assustou esse Veado,
170010,Aparencia,@forumpandlr @elonmusk Fico impressionada que ele é tão feio: que nem se ele gastasse 2x o valor da fortuna dele em plástica ele não ficaria nem “arrumadinho” https://t.co/JA6o7OUGNu,
170011,Capacitismo,@SenninKS Ta zoado tb?,
170012,Calunia,picpay pq tá me mandando notificação sobre essa baranga fedida,
170013,Xenofobia,A surra no branquelo https://t.co/YGFHub56pm,
170014,Xenofobia,Molhadinha do jeito que eu gosto 😋 https://t.co/RoMQYSIJgo,
170015,Capacitismo,@__Davizin__ @predo_o_ cala boca vadia baranga rapariga chata aidetica,
170016,Capacitismo,@RCarrascoQueen Que ridícula y analfabeta eres estudia un poco guapa!!!,
170017,Capacitismo,@senadorhumberto Você é um alienado com pensamento obtuso. O nordeste é muito mais que apenas praias e se fosse para fazer boicote a Cidade de SP deveria ser “evitada” pois infelizmente Lula foi vencedor nela. No entanto não faremos isso pois sabemos identificar quem são de fato nossos inimigos.,
170018,Assedio,Déjalo ya Arbustos nunca serás el director del New York Times sólo eres un vasallo esquizofrenico de la deforme tarada de la comunidad de Madrid https://t.co/zcOuOkYAbj,
